name,frame,log_lapvar,reblur,log_hf025,sigma_init
frame_002300.jpg,2300,-4.395410,0.210463,-4.278372,1.6986
frame_002310.jpg,2310,-3.903725,0.244243,-3.987035,1.2069
frame_002320.jpg,2320,-4.235151,0.219354,-4.046291,1.5383
frame_002330.jpg,2330,-4.416275,0.204243,-3.947916,1.7194
frame_002340.jpg,2340,-4.084325,0.234813,-3.405892,1.3875
frame_002350.jpg,2350,-4.623735,0.187185,-3.921705,1.9269
frame_002360.jpg,2360,-4.757055,0.178717,-3.709305,2.0602
frame_002370.jpg,2370,-4.380092,0.206900,-3.149552,1.6833
frame_002380.jpg,2380,-4.303710,0.211960,-3.055480,1.6069
frame_002400.jpg,2400,-4.216834,0.216620,-3.299311,1.5200
frame_002410.jpg,2410,-4.785432,0.181162,-3.970357,2.0886
frame_002420.jpg,2420,-4.135551,0.223480,-3.689431,1.4387
frame_002430.jpg,2430,-3.715959,0.250548,-3.618163,1.0191
frame_002440.jpg,2440,-3.562077,0.266334,-3.675643,0.8652
frame_002450.jpg,2450,-3.509803,0.272299,-3.557138,0.8130
frame_002460.jpg,2460,-4.008832,0.237401,-3.753454,1.3120
frame_002470.jpg,2470,-3.857015,0.248421,-3.586692,1.1602
frame_002480.jpg,2480,-3.957520,0.200915,-3.058797,1.2607
frame_002490.jpg,2490,-3.969150,0.202635,-3.058321,1.2723
frame_002500.jpg,2500,-3.924872,0.208161,-3.053775,1.2280
frame_002510.jpg,2510,-4.153391,0.192345,-3.289492,1.4566
frame_002520.jpg,2520,-4.478094,0.164401,-3.717487,1.7813
frame_002530.jpg,2530,-4.284800,0.174613,-3.579149,1.5880
frame_002540.jpg,2540,-4.349491,0.170489,-3.734731,1.6527
frame_002550.jpg,2550,-3.555446,0.235429,-3.303764,0.8586
frame_002560.jpg,2560,-3.763041,0.226827,-3.385243,1.0662
frame_002570.jpg,2570,-3.840154,0.213315,-3.570805,1.1433
frame_002580.jpg,2580,-3.488052,0.240578,-3.535776,0.7912
frame_002610.jpg,2610,-3.883428,0.221517,-3.249352,1.1866
frame_002640.jpg,2640,-4.016453,0.217026,-3.524727,1.3196
frame_002650.jpg,2650,-4.849792,0.145643,-4.850080,2.1530
frame_002660.jpg,2660,-3.766386,0.236748,-4.211810,1.0696
frame_002670.jpg,2670,-4.290950,0.200100,-4.741042,1.5941
frame_002680.jpg,2680,-4.583138,0.174112,-4.794673,1.8863
frame_002690.jpg,2690,-4.847716,0.138628,-5.141749,2.1509
frame_002700.jpg,2700,-4.668926,0.162165,-4.216922,1.9721
frame_002710.jpg,2710,-3.804110,0.234818,-3.498208,1.1073
frame_002720.jpg,2720,-4.305598,0.218476,-4.470229,1.6088
frame_002730.jpg,2730,-3.557810,0.293506,-4.124141,0.8610
frame_002750.jpg,2750,-2.984223,0.338220,-3.572775,0.2874
